file,r_idx,r_idx_2,r_major,r_minor,mean,max,min
R4_r12.glb,4,12,6.333333333333333,2.6,0.5391246219073454,0.5955555555555562,0.4622222222222219
R4_r13.glb,4,13,6.333333333333333,2.7333333333333334,0.5648168005827243,0.6354415954415961,0.468571428571428
R4_r14.glb,4,14,6.333333333333333,2.8666666666666667,0.590318224347597,0.6762393162393168,0.4732275132275128
R4_r15.glb,4,15,6.333333333333333,3,0.6156288932019632,0.7179487179487184,0.4761904761904756
R4_r16.glb,4,16,6.333333333333333,3.1333333333333333,0.6407488071458232,0.7605698005698014,0.4774603174603169
R4_r17.glb,4,17,6.333333333333333,3.2666666666666666,0.6656779661791767,0.8041025641025646,0.4770370370370365
R4_r18.glb,4,18,6.333333333333333,3.4,0.690416370302024,0.8485470085470092,0.4749206349206343
R4_r19.glb,4,19,6.333333333333333,3.533333333333333,0.714964019514365,0.8939031339031348,0.47111111111111054
R4_r20.glb,4,20,6.333333333333333,3.6666666666666665,0.7393209138161995,0.9401709401709412,0.46560846560846514
R4_r21.glb,4,21,6.333333333333333,3.8,0.7634870532075277,0.9873504273504288,0.4584126984126976
R4_r22.glb,4,22,6.333333333333333,3.933333333333333,0.7874624376883496,1.035441595441596,0.4495238095238089
R4_r23.glb,4,23,6.333333333333333,4.066666666666666,0.8112470672586651,1.084444444444445,0.4389417989417984
R4_r24.glb,4,24,6.333333333333333,4.2,0.8348409419184744,1.1343589743589757,0.42666666666666614
R4_r25.glb,4,25,6.333333333333333,4.333333333333334,0.8582440616677773,1.1851851851851865,0.41269841269841206
R4_r26.glb,4,26,6.333333333333333,4.466666666666667,0.8814564265065737,1.236923076923078,0.39703703703703663
R4_r27.glb,4,27,6.333333333333333,4.6,0.9044780364348638,1.289572649572651,0.3796825396825391
R4_r28.glb,4,28,6.333333333333333,4.733333333333333,0.9273088914526476,1.343133903133905,0.3606349206349203
R4_r29.glb,4,29,6.333333333333333,4.866666666666667,0.9499489915599252,1.3976068376068382,0.33989417989417936
R4_r30.glb,4,30,6.333333333333333,5,0.9723983367566963,1.452991452991454,0.317460317460317
R5_r0.glb,5,0,6.666666666666666,1,0.22758720408021313,0.26984126984127016,0.19658119658119633
R5_r1.glb,5,1,6.666666666666666,1.1333333333333333,0.2571214562545896,0.2986243386243389,0.22666666666666627
